                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0731,                 2.4176,                 1.0576,                0.32283,                0.12535,                0.09634,                0.04493,                 2.0596,                 1.5772,                0.97126,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.9975,                 1.6137,                0.99991,                0.39224,                0.17163,                0.14293,                0.07137,                  1.938,                 1.4053,                0.95506,              0.0065925,              0.0065925,              0.0065925
                      3,                 2.0083,                 1.5568,                0.99443,                0.30495,                0.18462,                 0.1483,                0.07087,                 1.9501,                  1.441,                0.96215,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.9806,                 1.5119,                 0.9894,                0.40423,                0.18531,                0.16097,                0.08076,                 1.8943,                 1.4049,                0.95958,               0.009703,               0.009703,               0.009703
                      5,                 1.9186,                 1.4452,                0.97454,                0.43583,                0.18554,                0.16968,                0.08573,                 1.8922,                 1.3525,                0.96276,               0.009604,               0.009604,               0.009604
                      6,                 1.8748,                 1.3994,                0.96311,                0.27839,                0.20692,                0.17959,                0.09247,                 1.8483,                 1.3509,                 0.9521,               0.009505,               0.009505,               0.009505
                      7,                 1.8533,                 1.3782,                0.96184,                0.27731,                0.20378,                0.18339,                0.09401,                 1.8052,                  1.264,                0.93894,               0.009406,               0.009406,               0.009406
                      8,                 1.8182,                 1.3286,                0.95529,                 0.4511,                0.21162,                0.19009,                0.09492,                 1.8078,                 1.2427,                0.94672,               0.009307,               0.009307,               0.009307
                      9,                 1.7989,                  1.315,                0.95138,                0.44433,                0.20946,                0.19479,                0.09922,                 1.8209,                   1.24,                0.93671,               0.009208,               0.009208,               0.009208
                     10,                  1.781,                 1.2918,                0.94451,                0.30065,                0.21922,                0.20297,                0.10642,                 1.7697,                 1.2061,                0.94187,               0.009109,               0.009109,               0.009109
                     11,                 1.7641,                 1.2769,                0.94278,                 0.3238,                0.20088,                0.20354,                 0.1074,                 1.7695,                 1.1974,                0.93566,                0.00901,                0.00901,                0.00901
                     12,                 1.7511,                 1.2608,                0.94285,                  0.336,                 0.2189,                0.21305,                0.11414,                 1.7363,                 1.1751,                0.92826,               0.008911,               0.008911,               0.008911
                     13,                 1.7428,                  1.249,                 0.9389,                0.32445,                0.22345,                0.21213,                0.10967,                 1.7893,                 1.1885,                0.93006,               0.008812,               0.008812,               0.008812
                     14,                 1.7295,                  1.235,                0.93588,                 0.3253,                0.22488,                0.21952,                0.11503,                 1.7154,                 1.1667,                0.92429,               0.008713,               0.008713,               0.008713
                     15,                 1.7146,                  1.215,                0.93304,                0.37575,                0.23072,                0.22095,                0.11836,                 1.6762,                 1.1421,                0.91905,               0.008614,               0.008614,               0.008614
                     16,                   1.71,                 1.2178,                 0.9314,                0.33911,                0.22964,                0.22062,                0.11653,                 1.7051,                 1.1509,                0.91816,               0.008515,               0.008515,               0.008515
                     17,                 1.6999,                 1.2086,                0.92932,                 0.3375,                0.23016,                0.22514,                0.11994,                 1.6992,                 1.1347,                0.91414,               0.008416,               0.008416,               0.008416
                     18,                  1.694,                 1.1996,                0.92784,                0.30695,                0.22819,                0.22016,                0.11807,                 1.6848,                 1.1424,                0.91532,               0.008317,               0.008317,               0.008317
                     19,                 1.6889,                 1.1846,                 0.9255,                0.33091,                 0.2356,                0.22994,                0.12172,                 1.6796,                 1.1165,                0.91874,               0.008218,               0.008218,               0.008218
                     20,                 1.6677,                 1.1727,                0.92494,                0.34308,                0.23639,                0.23299,                0.12372,                 1.6632,                 1.1305,                0.91432,               0.008119,               0.008119,               0.008119
                     21,                 1.6612,                 1.1606,                0.92195,                0.36132,                 0.2334,                0.23291,                0.12414,                 1.6837,                 1.1136,                0.91945,                0.00802,                0.00802,                0.00802
                     22,                 1.6503,                 1.1588,                0.92223,                0.39025,                0.23788,                0.23683,                0.12674,                 1.6544,                 1.1172,                0.91678,               0.007921,               0.007921,               0.007921
                     23,                 1.6519,                 1.1584,                0.92074,                0.34186,                0.23813,                0.23695,                0.12798,                 1.6574,                 1.0991,                0.91152,               0.007822,               0.007822,               0.007822
                     24,                 1.6568,                 1.1595,                0.91982,                0.33434,                0.24046,                0.23903,                0.12674,                 1.6665,                 1.1001,                0.91701,               0.007723,               0.007723,               0.007723
                     25,                 1.6494,                 1.1479,                0.91931,                0.33857,                0.24543,                0.24122,                0.12765,                 1.6434,                 1.0933,                0.90842,               0.007624,               0.007624,               0.007624
                     26,                 1.6399,                 1.1407,                0.91726,                0.36026,                0.24452,                0.24382,                0.13118,                  1.628,                  1.084,                0.90567,               0.007525,               0.007525,               0.007525
                     27,                 1.6366,                 1.1366,                0.91516,                0.35329,                0.24855,                0.24444,                0.13015,                 1.6472,                 1.0981,                0.90892,               0.007426,               0.007426,               0.007426
                     28,                 1.6352,                 1.1276,                0.91528,                0.36245,                0.24655,                0.24848,                0.13327,                 1.6267,                 1.0732,                0.90351,               0.007327,               0.007327,               0.007327
                     29,                 1.6269,                 1.1265,                0.91367,                0.38451,                0.24536,                0.24661,                0.13386,                 1.6376,                 1.0825,                  0.908,               0.007228,               0.007228,               0.007228
                     30,                 1.6177,                 1.1228,                 0.9146,                 0.3534,                0.24896,                0.24526,                0.12886,                  1.651,                 1.0891,                0.91136,               0.007129,               0.007129,               0.007129
                     31,                 1.6149,                 1.1167,                0.91385,                0.38272,                0.24613,                0.24958,                0.13354,                 1.6367,                 1.0787,                 0.9046,                0.00703,                0.00703,                0.00703
                     32,                 1.6036,                 1.1109,                0.91091,                0.38905,                0.25131,                  0.257,                0.13492,                 1.6118,                 1.0672,                 0.9039,               0.006931,               0.006931,               0.006931
                     33,                 1.6176,                  1.111,                0.91198,                0.38373,                0.24845,                0.25033,                0.13382,                 1.6209,                 1.0691,                0.90534,               0.006832,               0.006832,               0.006832
                     34,                 1.5973,                 1.0983,                0.90906,                0.37974,                0.24777,                0.24944,                0.13432,                 1.6174,                 1.0608,                0.90086,               0.006733,               0.006733,               0.006733
                     35,                   1.61,                 1.1041,                 0.9123,                 0.3734,                0.25036,                0.25062,                0.13536,                 1.6277,                  1.068,                0.90474,               0.006634,               0.006634,               0.006634
                     36,                 1.5994,                 1.0929,                0.90989,                0.38256,                0.25373,                0.25542,                0.13817,                 1.6173,                 1.0618,                0.90229,               0.006535,               0.006535,               0.006535
                     37,                 1.5981,                 1.0925,                 0.9083,                  0.371,                0.25359,                0.25298,                0.13655,                 1.6094,                 1.0569,                0.89908,               0.006436,               0.006436,               0.006436
                     38,                 1.5849,                  1.086,                0.90802,                0.37731,                0.25617,                0.25413,                 0.1362,                 1.6156,                 1.0543,                0.90029,               0.006337,               0.006337,               0.006337
                     39,                   1.58,                 1.0793,                0.90506,                0.37983,                0.24839,                0.25164,                 0.1353,                 1.6135,                 1.0652,                0.89925,               0.006238,               0.006238,               0.006238
                     40,                  1.575,                 1.0747,                0.90682,                0.37902,                0.26284,                0.25868,                0.13858,                 1.5908,                 1.0394,                0.89865,               0.006139,               0.006139,               0.006139
                     41,                  1.577,                 1.0763,                0.90432,                0.40111,                0.26257,                   0.26,                 0.1396,                 1.5934,                 1.0405,                0.89837,                0.00604,                0.00604,                0.00604
                     42,                 1.5668,                 1.0736,                0.90364,                0.38968,                 0.2618,                0.26086,                0.13911,                 1.6036,                 1.0383,                0.89932,               0.005941,               0.005941,               0.005941
                     43,                 1.5279,                 1.0305,                0.89458,                0.37889,                 0.2626,                 0.2558,                 0.1382,                 1.6027,                 1.0465,                0.89915,               0.005842,               0.005842,               0.005842
                     44,                 1.5239,                 1.0343,                0.89474,                0.37566,                0.26493,                0.26159,                0.13954,                 1.5956,                 1.0366,                0.89765,               0.005743,               0.005743,               0.005743
                     45,                 1.5583,                 1.0639,                0.90443,                0.37012,                0.26845,                0.26179,                0.14192,                 1.5783,                 1.0442,                0.89882,               0.005644,               0.005644,               0.005644
                     46,                 1.5577,                 1.0611,                0.90366,                0.38476,                0.26347,                0.26516,                0.14227,                 1.5899,                  1.031,                0.89822,               0.005545,               0.005545,               0.005545
                     47,                 1.5757,                  1.071,                0.90232,                0.40056,                0.26268,                 0.2651,                0.14159,                  1.592,                 1.0223,                 0.8983,               0.005446,               0.005446,               0.005446
                     48,                 1.5622,                 1.0598,                0.90094,                0.42059,                0.25997,                0.26453,                 0.1434,                 1.5856,                 1.0227,                0.89617,               0.005347,               0.005347,               0.005347
                     49,                 1.5561,                 1.0564,                0.90086,                 0.3848,                 0.2616,                0.26899,                0.14406,                 1.5917,                 1.0319,                0.89755,               0.005248,               0.005248,               0.005248
                     50,                 1.5567,                 1.0597,                0.90174,                0.40074,                0.26263,                0.26938,                0.14463,                 1.5833,                 1.0276,                0.89535,               0.005149,               0.005149,               0.005149
                     51,                 1.5497,                 1.0483,                0.90078,                0.38244,                 0.2653,                0.26748,                0.14331,                 1.5903,                 1.0274,                0.89562,                0.00505,                0.00505,                0.00505
                     52,                 1.5462,                 1.0437,                0.90001,                 0.3727,                0.26056,                0.26732,                0.14356,                 1.5661,                 1.0212,                0.89328,               0.004951,               0.004951,               0.004951
                     53,                 1.5515,                 1.0455,                0.90067,                  0.385,                0.26904,                0.26845,                0.14477,                 1.5688,                 1.0254,                0.89459,               0.004852,               0.004852,               0.004852
